date,Temperature,CloudOpacity,DHI,DNI,Radiation,Precipitation,Humidity,Pressure,WindDirection,WindSpeed,Month
2018-12-31 00:00:00+01:00,1.2,78.9,27.666666666666668,0.0,27.666666666666668,13.011111111111113,95.32222222222224,948.5888888888888,263.8888888888889,3.233333333333333,12
2019-01-01 00:00:00+01:00,2.4222222222222225,64.44444444444446,56.0,0.0,56.0,7.911111111111111,89.97777777777779,944.0666666666665,267.6666666666667,5.2444444444444445,1
2019-01-02 00:00:00+01:00,-1.5666666666666664,65.17777777777778,49.44444444444444,0.0,49.44444444444444,5.633333333333334,90.38888888888889,942.7888888888889,303.3333333333333,7.444444444444445,1
2019-01-03 00:00:00+01:00,-4.355555555555556,50.66666666666667,79.33333333333333,89.66666666666667,99.44444444444444,4.688888888888889,78.04444444444445,948.9333333333333,294.8888888888889,4.7,1
2019-01-04 00:00:00+01:00,-3.1777777777777776,74.86666666666666,46.0,0.0,46.0,7.877777777777778,87.38888888888887,948.4888888888888,282.6666666666667,3.744444444444445,1
2019-01-05 00:00:00+01:00,-1.5555555555555556,76.48888888888888,54.111111111111114,0.0,54.111111111111114,11.0,89.07777777777778,941.8333333333334,266.3333333333333,7.822222222222223,1
2019-01-06 00:00:00+01:00,0.32222222222222224,71.11111111111113,65.77777777777777,0.0,65.77777777777777,8.588888888888889,94.95555555555556,943.9333333333335,285.77777777777777,5.233333333333333,1
2019-01-07 00:00:00+01:00,0.18888888888888888,65.69999999999999,67.0,0.0,67.0,8.911111111111111,91.09999999999998,946.5999999999999,278.8888888888889,3.8666666666666663,1
2019-01-08 00:00:00+01:00,1.0333333333333332,70.4888888888889,56.666666666666664,8.777777777777779,59.333333333333336,8.233333333333333,83.14444444444445,932.2666666666667,261.6666666666667,8.355555555555554,1
2019-01-09 00:00:00+01:00,-1.9555555555555557,77.44444444444446,50.44444444444444,0.0,50.44444444444444,6.533333333333332,94.17777777777779,926.4888888888888,294.55555555555554,6.377777777777777,1
2019-01-10 00:00:00+01:00,-2.2777777777777777,74.28888888888888,51.111111111111114,0.0,51.111111111111114,6.544444444444445,95.26666666666667,935.1666666666669,334.8888888888889,4.344444444444445,1
2019-01-11 00:00:00+01:00,-4.01111111111111,37.455555555555556,67.44444444444444,267.0,132.11111111111111,5.666666666666667,79.2,939.3888888888891,265.8888888888889,3.7222222222222223,1
2019-01-12 00:00:00+01:00,-0.13333333333333333,70.87777777777778,56.55555555555556,0.0,56.55555555555556,8.38888888888889,82.13333333333333,937.7333333333333,264.55555555555554,6.555555555555555,1
2019-01-13 00:00:00+01:00,1.2777777777777777,74.3111111111111,61.0,0.0,61.0,11.244444444444445,85.85555555555555,927.0555555555555,251.77777777777777,7.811111111111111,1
2019-01-14 00:00:00+01:00,0.6222222222222222,67.37777777777778,69.66666666666667,0.0,69.66666666666667,8.044444444444446,93.6888888888889,925.911111111111,287.3333333333333,7.177777777777779,1
2019-01-15 00:00:00+01:00,-0.47777777777777763,51.37777777777778,105.66666666666667,0.5555555555555556,105.66666666666667,7.477777777777779,75.87777777777778,936.9777777777779,268.6666666666667,6.233333333333334,1
2019-01-16 00:00:00+01:00,0.7666666666666667,11.744444444444445,40.77777777777778,592.6666666666666,208.22222222222223,5.844444444444445,72.97777777777777,931.8222222222222,214.55555555555554,2.2,1
2019-01-17 00:00:00+01:00,3.1555555555555554,39.17777777777778,112.66666666666667,62.44444444444444,126.66666666666667,9.600000000000001,69.53333333333333,925.4333333333333,225.77777777777777,3.9777777777777774,1
2019-01-18 00:00:00+01:00,-1.7333333333333334,33.41111111111111,97.44444444444444,168.44444444444446,142.44444444444446,4.099999999999999,78.01111111111112,935.0222222222221,273.8888888888889,2.3444444444444446,1
2019-01-19 00:00:00+01:00,-4.011111111111112,21.511111111111113,100.11111111111111,269.55555555555554,169.88888888888889,4.655555555555555,70.0888888888889,931.6777777777776,131.33333333333334,1.3444444444444448,1
2019-01-20 00:00:00+01:00,-4.777777777777779,42.84444444444445,105.55555555555556,69.44444444444444,119.11111111111111,5.711111111111111,71.6,931.0333333333333,159.77777777777777,1.1555555555555557,1
2019-01-21 00:00:00+01:00,-4.111111111111111,59.21111111111111,66.66666666666667,8.88888888888889,67.55555555555556,6.144444444444445,76.01111111111112,934.9777777777776,87.66666666666667,0.7555555555555555,1
2019-01-22 00:00:00+01:00,-4.777777777777777,31.72222222222222,92.66666666666667,181.11111111111111,139.22222222222223,4.233333333333333,77.0888888888889,926.9777777777776,134.11111111111111,1.1555555555555557,1
2019-01-23 00:00:00+01:00,-5.3,51.48888888888889,104.55555555555556,9.555555555555555,105.88888888888889,5.71111111111111,75.84444444444443,914.1777777777776,102.55555555555556,0.9666666666666668,1
2019-01-24 00:00:00+01:00,-5.2555555555555555,32.48888888888889,120.22222222222223,124.55555555555556,159.11111111111111,5.177777777777779,75.37777777777778,923.411111111111,288.55555555555554,1.1111111111111112,1
2019-01-25 00:00:00+01:00,-5.333333333333333,54.74444444444445,85.22222222222223,20.0,87.22222222222223,4.022222222222222,73.58888888888889,931.4555555555554,283.22222222222223,3.6333333333333337,1
2019-01-26 00:00:00+01:00,0.25555555555555554,66.44444444444446,80.66666666666667,9.777777777777779,81.55555555555556,11.311111111111112,76.13333333333334,928.7333333333333,252.11111111111111,6.166666666666667,1
2019-01-27 00:00:00+01:00,1.7444444444444445,52.699999999999996,102.44444444444444,26.88888888888889,107.11111111111111,8.966666666666665,72.39999999999999,911.4111111111112,189.33333333333334,3.033333333333333,1
